message,label
"I'm a car guy, recommend me some scents that fit that vibe.",1
"I need something for prom that isn't too overpowering.",1
"I like fresh but not too sweet scents.",1
"Looking for a fragrance for long workdays in a small office.",1
"I prefer luxury perfumes only.",1
"What's a good oud for someone who hates heavy musk?",1
"I want to smell like a forest after it rains.",1
"Suggest a perfume for a 20-year-old guy's first date.",1
"Best vanilla scents that don't smell like a cupcake?",1
"I'm looking for a gift for my mom, she likes white florals.",1
"What are the best summer fragrances for high humidity?",1
"I need a scent that screams 'boss' for a big presentation.",1
"Does anyone still wear vintage Chanel No. 5?",1
"Looking for a budget-friendly alternative to Baccarat Rouge 540.",1
"Is Dior Sauvage too basic for a club night?",1
"I want something spicy and warm for winter nights.",1
"What's a good aquatic scent that actually lasts more than 2 hours?",1
"I'm a minimalist. Give me a 'skin scent' recommendation.",1
"My skin chemistry turns everything sour, help!",1
"Looking for a wedding scent that matches a beach theme.",1
"I love the smell of coffee. Are there any perfumes with that note?",1
"What should I wear to a funeral that's respectful but nice?",1
"Recommend me a fragrance that smells like expensive leather.",1
"I'm a student on a budget, what's a good versatile scent?",1
"Looking for something gourmand but with a bit of spice.",1
"Is Santal 33 worth the hype or is it overplayed?",1
"I need a perfume that makes me feel confident at the gym.",1
"What's the best flanker in the YSL Libre line?",1
"I want to smell like a dark, mysterious library.",1
"Are there any perfumes that smell like fresh laundry?",1
"Looking for a rose perfume that isn't 'old lady' style.",1
"I'm going to a music festival, need something that won't cloy in heat.",1
"Recommend a masculine floral for someone who usually wears woods.",1
"I'm a gardener, I want a scent that smells like real tomato vines.",1
"What's the difference between EDP and EDT for Bleu de Chanel?",1
"Looking for a niche fragrance that nobody else will be wearing.",1
"I want a scent that matches a black-tie gala event.",1
"Can you suggest a citrus scent that doesn't smell like cleaning product?",1
"I love sandalwood. What are the best sandalwood-forward scents?",1
"I need a pick-me-up scent for early morning shifts.",1
"Looking for a unisex fragrance for a couple to share.",1
"What's a good blind buy for someone who likes powdery notes?",1
"Is there a perfume that smells like the ocean but not salty?",1
"I'm looking for a signature scent that I can wear year-round.",1
"Recommend something with a strong sillage for outdoor parties.",1
"I want a perfume that features tea as a main note.",1
"What fragrance should I wear with a leather jacket?",1
"Looking for a cheapie that smells like a million bucks.",1
"I'm a nurse, I need something very light and unobtrusive.",1
"What's the best Tom Ford fragrance for a cold autumn day?",1
"I want to smell like a tropical vacation—think coconut and lime.",1
"Is it okay to wear heavy gourmands in the summer?",1
"Looking for a fragrance for a 50th birthday gift.",1
"I'm a goth, recommend me something dark and incense-heavy.",1
"What's a good starter niche brand for beginners?",1
"I need a perfume for a job interview in a creative field.",1
"Something with tobacco and honey notes please.",1
"I'm looking for a scent that smells like a cold mountain breeze.",1
"What's a good perfume to wear to a baseball game?",1
"I want a fragrance that features jasmine but isn't too indolic.",1
"Looking for a scent that pairs well with a linen suit.",1
"I'm a bridesmaid, what's a soft romantic scent for the day?",1
"Is there a perfume that smells like a bookstore?",1
"Recommend a fragrance for a high-end dinner party.",1
"I want a scent that's polarizing—either love it or hate it.",1
"What's the best lavender fragrance for sleep and relaxation?",1
"I'm looking for a citrus fragrance that actually has good longevity.",1
"Suggest a scent for a coastal grandmother aesthetic.",1
"What's a good perfume for a rainy day in the city?",1
"I need something for a first date that's inviting but not thirsty.",1
"Looking for a green scent that smells like mown grass.",1
"I'm a fan of patchouli, but not the 'hippie' kind. Suggestions?",1
"What fragrance fits a 'clean girl' aesthetic best?",1
"I want a perfume that smells like a campfire.",1
